id;language_code;display_language_code;name
533;cs;ko;체코슬로바키아어
534;cs;ku;Czech
535;cs;la;Czech
536;cs;lv;Czech
537;cs;lt;Czech
538;cs;mk;Czech
539;cs;mt;Czech
540;cs;mn;Czech
541;cs;ne;Czech
542;cs;nl;Tsjechisch
543;cs;nb;Czech
544;cs;pa;Czech
545;cs;pl;czeski
546;cs;pt-pt;Tcheco
547;cs;pt-br;Tcheco
548;cs;qu;Czech
549;cs;ro;Cehă
550;cs;ru;Чешский
551;cs;sl;Češčina
552;cs;so;Czech
553;cs;sq;Czech
554;cs;sr;чешки
555;cs;sv;Tjeckiska
556;cs;ta;Czech
557;cs;th;เช็ก
558;cs;tr;Çekçe
559;cs;uk;Czech
560;cs;ur;Czech
561;cs;uz;Czech
562;cs;vi;Czech
563;cs;yi;Czech
564;cs;zh-hans;捷克语
565;cs;zu;Czech
566;cs;zh-hant;捷克語
567;cs;ms;Czech
568;sk;en;Slovak
569;sk;es;Eslavo
570;sk;de;Slowakisch
571;sk;fr;Slave
572;sk;ar;السلافية
573;sk;bs;Slovak
574;sk;bg;Словашки
575;sk;ca;Slovak
576;sk;cs;Slovenština
577;sk;sk;Slovenčina
578;sk;cy;Slovak
579;sk;da;Slovak
580;sk;el;Σλαβικη
581;sk;eo;Slovak
582;sk;et;Slovak
583;sk;eu;Slovak
584;sk;fa;Slovak
585;sk;fi;slaavi
586;sk;ga;Slovak
587;sk;he;סלאבית
588;sk;hi;Slovak
589;sk;hr;Slovak
590;sk;hu;szláv
591;sk;hy;Slovak
592;sk;id;Slovak
593;sk;is;Slovak
594;sk;it;Slavo
595;sk;ja;スラヴ語派
596;sk;ko;슬라브어
597;sk;ku;Slovak
598;sk;la;Slovak
599;sk;lv;Slovak
600;sk;lt;Slovak
601;sk;mk;Slovak
602;sk;mt;Slovak
603;sk;mn;Slovak
604;sk;ne;Slovak
605;sk;nl;Slavisch
606;sk;nb;Slovak
607;sk;pa;Slovak
608;sk;pl;słowacki
